"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert <#1>","developers.cardano.org/75.2.60.5","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVjCCAj6gAwIBAgIQY5WTY8JOcIJxWRi/w9ftVjANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODB2MBAGByqGSM49AgEGBSuBBAAiA2IABNFl8l7cS7QMApzSsvru6WyrOq44ofTUOTIzxULUzDMMNMchIJBwXOhiLxxxs0LXeb5GDcHbR6EToMffgSZjO9SNHfY9gjMy9vQr5/WWOrQTZxh7az6NSNnq3u2ubT6HTKOB+DCB9TAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFI8NE6L2Ln7RUGwzGDhdWY4jcpHKMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMA0GCSqGSIb3DQEBCwUAA4ICAQBnE0hGINKsCYWi0Xx1ygxD5qihEjZ0RI3tTZz1wuATH3ZwYPIp97kWEayanD1j0cDhIYzy4CkDo2jB8D5t0a6zZWzlr98dAQFNh8uKJkIHdLShy+nUyeZxc5bNeMp1Lu0gSzE4McqfmNMvIpeiwWSYO9w82Ob8otvXcO2JUYi3svHIWRm3+707DUbL51XMcY2iZdlCq4Wa9nbuk3WTU4gr6LY8MzVAaDQG2+4U3eJ6qUF10bBnR1uuVyDYs9RhrwucRVnfuDj29CMLTsplM5f5wSV5hUpmUwp/vV7M4w4aGunt74koX71n4EdagCsL/Yk5+mAQU0+tue0JOfAV/R6t1k+Xk9s2HMQFeoxppfzAVC04FdG9M+AC2JWxmFSt6BCuh3CEey3fE52Qrj9YM75rtvIjsm/1Hl+u//Wqxnu1ZQ4jpa+VpuZiGOlWrqSP9eogdOhCGisnyewWJwRQOqK16wiGyZeRxs/Bekw65vwSIaVkBruPiTfMOo0Zh4gVa8/qJgMbJbyrwwG97z/PRgmLKCDl8z3dtA0Z7qq7fta0Gl24uyuB05dqI5J1LvAzKuWdIjT1tP8qCoxSE/xpix8hX2dt3h+/jujUgFPFZ0EVZ0xSyBNRF3MboGZnYXFUxpNjTWPKpagDHJQmqrAcDmWJnMsFY3jSu1igv3OefnWjSQ==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","developers.cardano.org/75.2.60.5","443","INFO","83624FD338C8D9B023C18A67CB7A9C0519DA43D11775B4C6CBDAD45C3D997C52","",""
"intermediate_cert_notBefore <#1>","developers.cardano.org/75.2.60.5","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","developers.cardano.org/75.2.60.5","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","developers.cardano.org/75.2.60.5","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","developers.cardano.org/75.2.60.5","443","INFO","E8 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","developers.cardano.org/75.2.60.5","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","developers.cardano.org/75.2.60.5","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","developers.cardano.org/75.2.60.5","443","INFO","+256 seconds from localtime","",""
"HTTP_headerTime","developers.cardano.org/75.2.60.5","443","INFO","1771724953","",""
"HTTP_headerAge","developers.cardano.org/75.2.60.5","443","INFO","256 seconds","",""
"HSTS_time","developers.cardano.org/75.2.60.5","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","developers.cardano.org/75.2.60.5","443","OK","includes subdomains","",""
"HSTS_preload","developers.cardano.org/75.2.60.5","443","OK","domain IS marked for preloading","",""
"HPKP","developers.cardano.org/75.2.60.5","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","developers.cardano.org/75.2.60.5","443","INFO","Netlify","",""
"banner_application","developers.cardano.org/75.2.60.5","443","INFO","No application banner found","",""
"cookie_count","developers.cardano.org/75.2.60.5","443","INFO","0 at '/'","",""
"X-Frame-Options","developers.cardano.org/75.2.60.5","443","OK","DENY","",""
"Content-Security-Policy","developers.cardano.org/75.2.60.5","443","OK","default-src 'self'; script-src 'self' blob: 'unsafe-inline' https://cardano.org https://developers.cardano.org https://www.googletagmanager.com https://js.hsforms.net https://js-eu1.hsforms.net https://forms.hsforms.com https://www.google.com https://www.gstatic.com; img-src 'self' https://cardano.org https://developers.cardano.org https://forms.hsforms.com https://forms-eu1.hsforms.com data: https://*.ytimg.com; style-src 'self' 'unsafe-inline'; frame-src 'self' https://www.youtube.com https://www.youtube-nocookie.com https://www.google.com https://*.hsforms.net; media-src 'self' https://www.youtube.com https://www.youtube-nocookie.com; connect-src 'self' https://*.algolianet.com https://hubspot-forms-static-embed.s3.amazonaws.com https://*.hsforms.com https://*.google-analytics.com;","",""
"X-XSS-Protection","developers.cardano.org/75.2.60.5","443","INFO","1; mode=block","",""
"Referrer-Policy","developers.cardano.org/75.2.60.5","443","INFO","no-referrer-when-downgrade","",""
"Cache-Control","developers.cardano.org/75.2.60.5","443","INFO","public,max-age=0,must-revalidate","",""
"banner_reverseproxy","developers.cardano.org/75.2.60.5","443","INFO","--","","CWE-200"
"heartbleed","developers.cardano.org/75.2.60.5","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","developers.cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","developers.cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","developers.cardano.org/75.2.60.5","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","developers.cardano.org/75.2.60.5","443","OK","supported","","CWE-310"
"secure_client_renego","developers.cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","developers.cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","developers.cardano.org/75.2.60.5","443","MEDIUM","potentially VULNERABLE, br gzip deflate HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","developers.cardano.org/75.2.60.5","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","developers.cardano.org/75.2.60.5","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","developers.cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","developers.cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","developers.cardano.org/75.2.60.5","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","developers.cardano.org/75.2.60.5","443","INFO","no RSA certificate, can't be used with SSLv2 elsewhere","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","developers.cardano.org/75.2.60.5","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
