"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-ie_11_win81","data.cardano.org/52.211.238.28","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_winphone81","data.cardano.org/52.211.238.28","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_win10","data.cardano.org/52.211.238.28","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","data.cardano.org/52.211.238.28","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-edge_133_win11_23h2","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_184_ios_184","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_184_osx_154","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","data.cardano.org/52.211.238.28","443","INFO","No connection","",""
"clientsimulation-java_80442","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1102","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1703","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_2106","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_336","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-openssl_102e","data.cardano.org/52.211.238.28","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_315","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_350","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","data.cardano.org/52.211.238.28","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","data.cardano.org/52.211.238.28","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","data.cardano.org/52.211.238.28","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","data.cardano.org/52.211.238.28","443","INFO","100","",""
"protocol_support_score_weighted","data.cardano.org/52.211.238.28","443","INFO","30","",""
"key_exchange_score","data.cardano.org/52.211.238.28","443","INFO","100","",""
"key_exchange_score_weighted","data.cardano.org/52.211.238.28","443","INFO","30","",""
"cipher_strength_score","data.cardano.org/52.211.238.28","443","INFO","60","",""
"cipher_strength_score_weighted","data.cardano.org/52.211.238.28","443","INFO","24","",""
"final_score","data.cardano.org/52.211.238.28","443","INFO","84","",""
"overall_grade","data.cardano.org/52.211.238.28","443","OK","A","",""
"grade_cap_reason_1","data.cardano.org/52.211.238.28","443","INFO","Grade capped to A. HSTS is not offered","",""
